image_path,folder_name,predicted_class,probability,actual_class
dataset\ImageNet-Mini\images\n01532829\ILSVRC2012_val_00028791.JPEG,n01532829,12,0.8855998516082764,12
dataset\ImageNet-Mini\images\n01532829\ILSVRC2012_val_00043392.JPEG,n01532829,12,0.9931963682174683,12
dataset\ImageNet-Mini\images\n01534433\ILSVRC2012_val_00001915.JPEG,n01534433,13,0.8208240866661072,13
dataset\ImageNet-Mini\images\n01534433\ILSVRC2012_val_00004245.JPEG,n01534433,13,0.863469660282135,13
dataset\ImageNet-Mini\images\n01534433\ILSVRC2012_val_00027831.JPEG,n01534433,13,0.8360022306442261,13
dataset\ImageNet-Mini\images\n01534433\ILSVRC2012_val_00047333.JPEG,n01534433,13,0.7577140927314758,13
dataset\ImageNet-Mini\images\n01537544\ILSVRC2012_val_00023438.JPEG,n01537544,14,0.7633334398269653,14
dataset\ImageNet-Mini\images\n01537544\ILSVRC2012_val_00023573.JPEG,n01537544,14,0.7436197400093079,14
dataset\ImageNet-Mini\images\n01537544\ILSVRC2012_val_00036431.JPEG,n01537544,18,0.17072927951812744,14
dataset\ImageNet-Mini\images\n01537544\ILSVRC2012_val_00041252.JPEG,n01537544,14,0.9076614379882812,14
dataset\ImageNet-Mini\images\n01558993\ILSVRC2012_val_00001598.JPEG,n01558993,15,0.6539047956466675,15
dataset\ImageNet-Mini\images\n01558993\ILSVRC2012_val_00027535.JPEG,n01558993,15,0.5566771626472473,15
dataset\ImageNet-Mini\images\n01558993\ILSVRC2012_val_00043300.JPEG,n01558993,15,0.8744014501571655,15
dataset\ImageNet-Mini\images\n01560419\ILSVRC2012_val_00004037.JPEG,n01560419,16,0.9965144991874695,16
dataset\ImageNet-Mini\images\n01560419\ILSVRC2012_val_00011420.JPEG,n01560419,16,0.9650468230247498,16
dataset\ImageNet-Mini\images\n01560419\ILSVRC2012_val_00012870.JPEG,n01560419,16,0.9879634380340576,16
dataset\ImageNet-Mini\images\n01580077\ILSVRC2012_val_00001508.JPEG,n01580077,17,0.49863818287849426,17
dataset\ImageNet-Mini\images\n01580077\ILSVRC2012_val_00043995.JPEG,n01580077,17,0.9591858983039856,17
dataset\ImageNet-Mini\images\n01580077\ILSVRC2012_val_00046280.JPEG,n01580077,17,0.4249453544616699,17
dataset\ImageNet-Mini\images\n01582220\ILSVRC2012_val_00000963.JPEG,n01582220,18,0.9960640072822571,18
dataset\ImageNet-Mini\images\n01582220\ILSVRC2012_val_00046917.JPEG,n01582220,18,0.9449751973152161,18
dataset\ImageNet-Mini\images\n01592084\ILSVRC2012_val_00017017.JPEG,n01592084,19,0.841681718826294,19
dataset\ImageNet-Mini\images\n01592084\ILSVRC2012_val_00019788.JPEG,n01592084,19,0.9287081956863403,19
dataset\ImageNet-Mini\images\n01592084\ILSVRC2012_val_00035303.JPEG,n01592084,19,0.6193405389785767,19
dataset\ImageNet-Mini\images\n01592084\ILSVRC2012_val_00045568.JPEG,n01592084,19,0.532465398311615,19
dataset\ImageNet-Mini\images\n01601694\ILSVRC2012_val_00008816.JPEG,n01601694,20,0.5957152247428894,20
dataset\ImageNet-Mini\images\n01601694\ILSVRC2012_val_00020730.JPEG,n01601694,20,0.9527140259742737,20
dataset\ImageNet-Mini\images\n01601694\ILSVRC2012_val_00031973.JPEG,n01601694,20,0.9279281497001648,20
dataset\ImageNet-Mini\images\n01608432\ILSVRC2012_val_00000073.JPEG,n01608432,21,0.851046621799469,21
dataset\ImageNet-Mini\images\n01608432\ILSVRC2012_val_00020710.JPEG,n01608432,21,0.15464839339256287,21
dataset\ImageNet-Mini\images\n01608432\ILSVRC2012_val_00021056.JPEG,n01608432,21,0.9098666310310364,21
dataset\ImageNet-Mini\images\n01608432\ILSVRC2012_val_00045746.JPEG,n01608432,21,0.8375495076179504,21
dataset\ImageNet-Mini\images\n01614925\ILSVRC2012_val_00026707.JPEG,n01614925,22,0.9627329707145691,22
dataset\ImageNet-Mini\images\n01614925\ILSVRC2012_val_00033435.JPEG,n01614925,22,0.9381257891654968,22
dataset\ImageNet-Mini\images\n01614925\ILSVRC2012_val_00044921.JPEG,n01614925,22,0.6344816088676453,22
dataset\ImageNet-Mini\images\n01616318\ILSVRC2012_val_00018092.JPEG,n01616318,23,0.23034648597240448,23
dataset\ImageNet-Mini\images\n01616318\ILSVRC2012_val_00035953.JPEG,n01616318,23,0.12224771827459335,23
dataset\ImageNet-Mini\images\n01616318\ILSVRC2012_val_00037259.JPEG,n01616318,23,0.4142938554286957,23
dataset\ImageNet-Mini\images\n01622779\ILSVRC2012_val_00001213.JPEG,n01622779,24,0.9806516766548157,24
dataset\ImageNet-Mini\images\n01622779\ILSVRC2012_val_00003169.JPEG,n01622779,24,0.9762568473815918,24
dataset\ImageNet-Mini\images\n01622779\ILSVRC2012_val_00015913.JPEG,n01622779,83,0.3417084217071533,24
dataset\ImageNet-Mini\images\n01622779\ILSVRC2012_val_00018062.JPEG,n01622779,24,0.8317011594772339,24
dataset\ImageNet-Mini\images\n01629819\ILSVRC2012_val_00009938.JPEG,n01629819,44,0.13766080141067505,25
dataset\ImageNet-Mini\images\n01629819\ILSVRC2012_val_00028489.JPEG,n01629819,25,0.9001467227935791,25
dataset\ImageNet-Mini\images\n01629819\ILSVRC2012_val_00049244.JPEG,n01629819,25,0.9038640856742859,25
dataset\ImageNet-Mini\images\n01630670\ILSVRC2012_val_00006582.JPEG,n01630670,27,0.4964829683303833,26
dataset\ImageNet-Mini\images\n01630670\ILSVRC2012_val_00011650.JPEG,n01630670,26,0.9763083457946777,26
dataset\ImageNet-Mini\images\n01630670\ILSVRC2012_val_00023488.JPEG,n01630670,26,0.31941553950309753,26
dataset\ImageNet-Mini\images\n01630670\ILSVRC2012_val_00038449.JPEG,n01630670,27,0.3258136212825775,26
dataset\ImageNet-Mini\images\n01631663\ILSVRC2012_val_00001728.JPEG,n01631663,27,0.6961540579795837,27
dataset\ImageNet-Mini\images\n01631663\ILSVRC2012_val_00011416.JPEG,n01631663,27,0.13342909514904022,27
dataset\ImageNet-Mini\images\n01631663\ILSVRC2012_val_00011688.JPEG,n01631663,26,0.24054576456546783,27
dataset\ImageNet-Mini\images\n01631663\ILSVRC2012_val_00023450.JPEG,n01631663,77,0.04479904845356941,27
dataset\ImageNet-Mini\images\n01632458\ILSVRC2012_val_00001131.JPEG,n01632458,28,0.5979166626930237,28
dataset\ImageNet-Mini\images\n01632458\ILSVRC2012_val_00023080.JPEG,n01632458,28,0.5430550575256348,28
dataset\ImageNet-Mini\images\n01632458\ILSVRC2012_val_00025492.JPEG,n01632458,71,0.4060918986797333,28
dataset\ImageNet-Mini\images\n01632458\ILSVRC2012_val_00026813.JPEG,n01632458,28,0.9061695337295532,28
dataset\ImageNet-Mini\images\n01632777\ILSVRC2012_val_00035654.JPEG,n01632777,29,0.8922012448310852,29
dataset\ImageNet-Mini\images\n01632777\ILSVRC2012_val_00045924.JPEG,n01632777,29,0.9966607093811035,29
dataset\ImageNet-Mini\images\n01641577\ILSVRC2012_val_00028352.JPEG,n01641577,30,0.6591100096702576,30
dataset\ImageNet-Mini\images\n01641577\ILSVRC2012_val_00032916.JPEG,n01641577,307,0.11181122809648514,30
dataset\ImageNet-Mini\images\n01641577\ILSVRC2012_val_00033960.JPEG,n01641577,37,0.32889336347579956,30
dataset\ImageNet-Mini\images\n01644373\ILSVRC2012_val_00007574.JPEG,n01644373,31,0.640311598777771,31
dataset\ImageNet-Mini\images\n01644373\ILSVRC2012_val_00017882.JPEG,n01644373,307,0.6673132181167603,31
dataset\ImageNet-Mini\images\n01644373\ILSVRC2012_val_00033702.JPEG,n01644373,31,0.5500413775444031,31
dataset\ImageNet-Mini\images\n01644373\ILSVRC2012_val_00036066.JPEG,n01644373,31,0.8963583111763,31
dataset\ImageNet-Mini\images\n01644900\ILSVRC2012_val_00010593.JPEG,n01644900,32,0.5433520674705505,32
dataset\ImageNet-Mini\images\n01644900\ILSVRC2012_val_00016934.JPEG,n01644900,26,0.7065862417221069,32
dataset\ImageNet-Mini\images\n01644900\ILSVRC2012_val_00021776.JPEG,n01644900,71,0.2032180279493332,32
dataset\ImageNet-Mini\images\n01644900\ILSVRC2012_val_00024102.JPEG,n01644900,395,0.09641095250844955,32
dataset\ImageNet-Mini\images\n01644900\ILSVRC2012_val_00036722.JPEG,n01644900,47,0.25137603282928467,32
dataset\ImageNet-Mini\images\n01664065\ILSVRC2012_val_00014352.JPEG,n01664065,115,0.08847769349813461,33
dataset\ImageNet-Mini\images\n01664065\ILSVRC2012_val_00031829.JPEG,n01664065,33,0.36389854550361633,33
dataset\ImageNet-Mini\images\n01664065\ILSVRC2012_val_00042216.JPEG,n01664065,33,0.9761885404586792,33
dataset\ImageNet-Mini\images\n01665541\ILSVRC2012_val_00020907.JPEG,n01665541,34,0.9288192391395569,34
dataset\ImageNet-Mini\images\n01665541\ILSVRC2012_val_00038140.JPEG,n01665541,36,0.42588740587234497,34
dataset\ImageNet-Mini\images\n01665541\ILSVRC2012_val_00044755.JPEG,n01665541,34,0.764899730682373,34
dataset\ImageNet-Mini\images\n01667114\ILSVRC2012_val_00000229.JPEG,n01667114,35,0.22673651576042175,35
dataset\ImageNet-Mini\images\n01667114\ILSVRC2012_val_00004897.JPEG,n01667114,37,0.4904317855834961,35
dataset\ImageNet-Mini\images\n01667114\ILSVRC2012_val_00012732.JPEG,n01667114,35,0.9762699007987976,35
dataset\ImageNet-Mini\images\n01667114\ILSVRC2012_val_00026446.JPEG,n01667114,35,0.8556035757064819,35
dataset\ImageNet-Mini\images\n01667778\ILSVRC2012_val_00006634.JPEG,n01667778,37,0.6372852921485901,36
dataset\ImageNet-Mini\images\n01667778\ILSVRC2012_val_00009819.JPEG,n01667778,36,0.8311141729354858,36
dataset\ImageNet-Mini\images\n01667778\ILSVRC2012_val_00025611.JPEG,n01667778,37,0.6639257073402405,36
dataset\ImageNet-Mini\images\n01667778\ILSVRC2012_val_00042023.JPEG,n01667778,36,0.4330597519874573,36
dataset\ImageNet-Mini\images\n01669191\ILSVRC2012_val_00031467.JPEG,n01669191,37,0.7265962362289429,37
dataset\ImageNet-Mini\images\n01669191\ILSVRC2012_val_00037560.JPEG,n01669191,37,0.918681263923645,37
dataset\ImageNet-Mini\images\n01675722\ILSVRC2012_val_00008226.JPEG,n01675722,38,0.8769864439964294,38
dataset\ImageNet-Mini\images\n01675722\ILSVRC2012_val_00024545.JPEG,n01675722,38,0.5178399682044983,38
dataset\ImageNet-Mini\images\n01675722\ILSVRC2012_val_00027776.JPEG,n01675722,41,0.15002119541168213,38
dataset\ImageNet-Mini\images\n01675722\ILSVRC2012_val_00046185.JPEG,n01675722,38,0.9714648723602295,38
dataset\ImageNet-Mini\images\n01677366\ILSVRC2012_val_00010171.JPEG,n01677366,39,0.934217631816864,39
dataset\ImageNet-Mini\images\n01677366\ILSVRC2012_val_00033961.JPEG,n01677366,39,0.931766152381897,39
dataset\ImageNet-Mini\images\n01677366\ILSVRC2012_val_00046740.JPEG,n01677366,312,0.09275541454553604,39
dataset\ImageNet-Mini\images\n01682714\ILSVRC2012_val_00011129.JPEG,n01682714,46,0.6070469617843628,40
dataset\ImageNet-Mini\images\n01682714\ILSVRC2012_val_00028042.JPEG,n01682714,40,0.39350447058677673,40
dataset\ImageNet-Mini\images\n01682714\ILSVRC2012_val_00037273.JPEG,n01682714,315,0.09007579833269119,40
dataset\ImageNet-Mini\images\n01682714\ILSVRC2012_val_00041659.JPEG,n01682714,40,0.5569599866867065,40
dataset\ImageNet-Mini\images\n01685808\ILSVRC2012_val_00005590.JPEG,n01685808,41,0.6039690375328064,41
dataset\ImageNet-Mini\images\n01685808\ILSVRC2012_val_00039384.JPEG,n01685808,41,0.7602840662002563,41
dataset\ImageNet-Mini\images\n01685808\ILSVRC2012_val_00042079.JPEG,n01685808,42,0.28411978483200073,41
dataset\ImageNet-Mini\images\n01687978\ILSVRC2012_val_00021582.JPEG,n01687978,390,0.2555808424949646,42
dataset\ImageNet-Mini\images\n01687978\ILSVRC2012_val_00030918.JPEG,n01687978,26,0.3133670687675476,42
dataset\ImageNet-Mini\images\n01687978\ILSVRC2012_val_00037510.JPEG,n01687978,42,0.9190213084220886,42
dataset\ImageNet-Mini\images\n01687978\ILSVRC2012_val_00041169.JPEG,n01687978,42,0.8467991948127747,42
dataset\ImageNet-Mini\images\n01688243\ILSVRC2012_val_00002295.JPEG,n01688243,43,0.9160147309303284,43
dataset\ImageNet-Mini\images\n01688243\ILSVRC2012_val_00039831.JPEG,n01688243,105,0.5363046526908875,43
dataset\ImageNet-Mini\images\n01688243\ILSVRC2012_val_00044980.JPEG,n01688243,43,0.8171383142471313,43
dataset\ImageNet-Mini\images\n01689811\ILSVRC2012_val_00016357.JPEG,n01689811,41,0.34472694993019104,44
dataset\ImageNet-Mini\images\n01689811\ILSVRC2012_val_00038667.JPEG,n01689811,44,0.4083942472934723,44
dataset\ImageNet-Mini\images\n01689811\ILSVRC2012_val_00043624.JPEG,n01689811,44,0.2875826954841614,44
dataset\ImageNet-Mini\images\n01692333\ILSVRC2012_val_00025104.JPEG,n01692333,41,0.507142186164856,45
dataset\ImageNet-Mini\images\n01692333\ILSVRC2012_val_00031550.JPEG,n01692333,45,0.4385095536708832,45
dataset\ImageNet-Mini\images\n01692333\ILSVRC2012_val_00037324.JPEG,n01692333,45,0.9753801822662354,45
dataset\ImageNet-Mini\images\n01693334\ILSVRC2012_val_00018857.JPEG,n01693334,40,0.38286012411117554,46
dataset\ImageNet-Mini\images\n01693334\ILSVRC2012_val_00025809.JPEG,n01693334,46,0.24559055268764496,46
dataset\ImageNet-Mini\images\n01694178\ILSVRC2012_val_00008570.JPEG,n01694178,47,0.42497092485427856,47
dataset\ImageNet-Mini\images\n01694178\ILSVRC2012_val_00015831.JPEG,n01694178,47,0.701882541179657,47
dataset\ImageNet-Mini\images\n01694178\ILSVRC2012_val_00017926.JPEG,n01694178,47,0.4923876225948334,47
dataset\ImageNet-Mini\images\n01694178\ILSVRC2012_val_00032934.JPEG,n01694178,46,0.3767507076263428,47
dataset\ImageNet-Mini\images\n01695060\ILSVRC2012_val_00008095.JPEG,n01695060,48,0.7885950207710266,48
dataset\ImageNet-Mini\images\n01695060\ILSVRC2012_val_00017497.JPEG,n01695060,704,0.05463402718305588,48
dataset\ImageNet-Mini\images\n01695060\ILSVRC2012_val_00034125.JPEG,n01695060,48,0.9909557700157166,48
dataset\ImageNet-Mini\images\n01697457\ILSVRC2012_val_00005815.JPEG,n01697457,142,0.09823885560035706,49
dataset\ImageNet-Mini\images\n01697457\ILSVRC2012_val_00008469.JPEG,n01697457,958,0.25868523120880127,49
dataset\ImageNet-Mini\images\n01697457\ILSVRC2012_val_00010904.JPEG,n01697457,140,0.16914494335651398,49
dataset\ImageNet-Mini\images\n01698640\ILSVRC2012_val_00001338.JPEG,n01698640,50,0.4500654637813568,50
dataset\ImageNet-Mini\images\n01698640\ILSVRC2012_val_00004106.JPEG,n01698640,49,0.3111671507358551,50
dataset\ImageNet-Mini\images\n01698640\ILSVRC2012_val_00004402.JPEG,n01698640,50,0.4187953472137451,50
dataset\ImageNet-Mini\images\n01704323\ILSVRC2012_val_00017572.JPEG,n01704323,51,0.9985306262969971,51
dataset\ImageNet-Mini\images\n01704323\ILSVRC2012_val_00017962.JPEG,n01704323,51,0.971462070941925,51
dataset\ImageNet-Mini\images\n01704323\ILSVRC2012_val_00019894.JPEG,n01704323,469,0.21153928339481354,51
dataset\ImageNet-Mini\images\n01704323\ILSVRC2012_val_00020061.JPEG,n01704323,51,0.9350823760032654,51
dataset\ImageNet-Mini\images\n01728572\ILSVRC2012_val_00016737.JPEG,n01728572,52,0.4525126516819,52
dataset\ImageNet-Mini\images\n01728572\ILSVRC2012_val_00020383.JPEG,n01728572,52,0.8803959488868713,52
dataset\ImageNet-Mini\images\n01728572\ILSVRC2012_val_00022901.JPEG,n01728572,52,0.7140884399414062,52
dataset\ImageNet-Mini\images\n01728572\ILSVRC2012_val_00042100.JPEG,n01728572,52,0.9208880662918091,52
dataset\ImageNet-Mini\images\n01728920\ILSVRC2012_val_00007719.JPEG,n01728920,53,0.8823530673980713,53
dataset\ImageNet-Mini\images\n01728920\ILSVRC2012_val_00019966.JPEG,n01728920,53,0.8293140530586243,53
dataset\ImageNet-Mini\images\n01728920\ILSVRC2012_val_00020274.JPEG,n01728920,53,0.1817062646150589,53
dataset\ImageNet-Mini\images\n01728920\ILSVRC2012_val_00046516.JPEG,n01728920,53,0.29971152544021606,53
dataset\ImageNet-Mini\images\n01729322\ILSVRC2012_val_00003071.JPEG,n01729322,53,0.5775437951087952,54
dataset\ImageNet-Mini\images\n01729322\ILSVRC2012_val_00011295.JPEG,n01729322,66,0.5959967970848083,54
dataset\ImageNet-Mini\images\n01729322\ILSVRC2012_val_00017346.JPEG,n01729322,57,0.3964088261127472,54
dataset\ImageNet-Mini\images\n01729322\ILSVRC2012_val_00044534.JPEG,n01729322,54,0.11111968010663986,54
dataset\ImageNet-Mini\images\n01729977\ILSVRC2012_val_00000029.JPEG,n01729977,59,0.28518980741500854,55
dataset\ImageNet-Mini\images\n01729977\ILSVRC2012_val_00007710.JPEG,n01729977,64,0.7922026515007019,55
dataset\ImageNet-Mini\images\n01729977\ILSVRC2012_val_00048574.JPEG,n01729977,55,0.34598496556282043,55
dataset\ImageNet-Mini\images\n01734418\ILSVRC2012_val_00000512.JPEG,n01734418,56,0.9562088251113892,56
dataset\ImageNet-Mini\images\n01734418\ILSVRC2012_val_00012578.JPEG,n01734418,56,0.541308581829071,56
dataset\ImageNet-Mini\images\n01734418\ILSVRC2012_val_00021974.JPEG,n01734418,60,0.14399856328964233,56
dataset\ImageNet-Mini\images\n01735189\ILSVRC2012_val_00034251.JPEG,n01735189,57,0.9413123726844788,57
dataset\ImageNet-Mini\images\n01735189\ILSVRC2012_val_00045256.JPEG,n01735189,57,0.4675682783126831,57
dataset\ImageNet-Mini\images\n01737021\ILSVRC2012_val_00011483.JPEG,n01737021,58,0.5769753456115723,58
dataset\ImageNet-Mini\images\n01737021\ILSVRC2012_val_00021332.JPEG,n01737021,58,0.507378876209259,58
dataset\ImageNet-Mini\images\n01737021\ILSVRC2012_val_00028861.JPEG,n01737021,677,0.12901756167411804,58
dataset\ImageNet-Mini\images\n01739381\ILSVRC2012_val_00015794.JPEG,n01739381,59,0.2474275380373001,59
dataset\ImageNet-Mini\images\n01739381\ILSVRC2012_val_00016124.JPEG,n01739381,58,0.6395471096038818,59
dataset\ImageNet-Mini\images\n01739381\ILSVRC2012_val_00018204.JPEG,n01739381,489,0.22305704653263092,59
dataset\ImageNet-Mini\images\n01740131\ILSVRC2012_val_00002505.JPEG,n01740131,62,0.32192865014076233,60
dataset\ImageNet-Mini\images\n01740131\ILSVRC2012_val_00011034.JPEG,n01740131,60,0.41934266686439514,60
dataset\ImageNet-Mini\images\n01740131\ILSVRC2012_val_00027330.JPEG,n01740131,114,0.36283406615257263,60
dataset\ImageNet-Mini\images\n01740131\ILSVRC2012_val_00033547.JPEG,n01740131,60,0.7467496991157532,60
dataset\ImageNet-Mini\images\n01742172\ILSVRC2012_val_00031608.JPEG,n01742172,599,0.1229957565665245,61
dataset\ImageNet-Mini\images\n01742172\ILSVRC2012_val_00038304.JPEG,n01742172,61,0.9836159348487854,61
dataset\ImageNet-Mini\images\n01742172\ILSVRC2012_val_00045042.JPEG,n01742172,56,0.3186796307563782,61
dataset\ImageNet-Mini\images\n01742172\ILSVRC2012_val_00046778.JPEG,n01742172,52,0.25954994559288025,61
dataset\ImageNet-Mini\images\n01744401\ILSVRC2012_val_00000688.JPEG,n01744401,62,0.7140076756477356,62
dataset\ImageNet-Mini\images\n01744401\ILSVRC2012_val_00020861.JPEG,n01744401,109,0.46477970480918884,62
dataset\ImageNet-Mini\images\n01744401\ILSVRC2012_val_00028743.JPEG,n01744401,48,0.2611895799636841,62
dataset\ImageNet-Mini\images\n01744401\ILSVRC2012_val_00032663.JPEG,n01744401,363,0.072337307035923,62
dataset\ImageNet-Mini\images\n01748264\ILSVRC2012_val_00003143.JPEG,n01748264,41,0.10977960377931595,63
dataset\ImageNet-Mini\images\n01748264\ILSVRC2012_val_00014457.JPEG,n01748264,63,0.9904795289039612,63
dataset\ImageNet-Mini\images\n01748264\ILSVRC2012_val_00021130.JPEG,n01748264,740,0.03923093527555466,63
dataset\ImageNet-Mini\images\n01748264\ILSVRC2012_val_00030303.JPEG,n01748264,63,0.9842275977134705,63
dataset\ImageNet-Mini\images\n01748264\ILSVRC2012_val_00042111.JPEG,n01748264,56,0.21122585237026215,63
dataset\ImageNet-Mini\images\n01749939\ILSVRC2012_val_00021593.JPEG,n01749939,59,0.5441198945045471,64
dataset\ImageNet-Mini\images\n01749939\ILSVRC2012_val_00022436.JPEG,n01749939,59,0.4556703567504883,64
dataset\ImageNet-Mini\images\n01749939\ILSVRC2012_val_00039780.JPEG,n01749939,64,0.3071174919605255,64
dataset\ImageNet-Mini\images\n01749939\ILSVRC2012_val_00041931.JPEG,n01749939,55,0.378435343503952,64
dataset\ImageNet-Mini\images\n01751748\ILSVRC2012_val_00033903.JPEG,n01751748,65,0.8923318386077881,65
dataset\ImageNet-Mini\images\n01751748\ILSVRC2012_val_00043075.JPEG,n01751748,65,0.5813327431678772,65
dataset\ImageNet-Mini\images\n01751748\ILSVRC2012_val_00049933.JPEG,n01751748,123,0.13409051299095154,65
dataset\ImageNet-Mini\images\n01753488\ILSVRC2012_val_00014116.JPEG,n01753488,68,0.5510877966880798,66
dataset\ImageNet-Mini\images\n01753488\ILSVRC2012_val_00017531.JPEG,n01753488,66,0.594592273235321,66
dataset\ImageNet-Mini\images\n01753488\ILSVRC2012_val_00031311.JPEG,n01753488,825,0.12855976819992065,66
dataset\ImageNet-Mini\images\n01755581\ILSVRC2012_val_00016905.JPEG,n01755581,67,0.4594554901123047,67
dataset\ImageNet-Mini\images\n01755581\ILSVRC2012_val_00038068.JPEG,n01755581,67,0.5458141565322876,67
dataset\ImageNet-Mini\images\n01755581\ILSVRC2012_val_00045418.JPEG,n01755581,67,0.6676992774009705,67
dataset\ImageNet-Mini\images\n01756291\ILSVRC2012_val_00010465.JPEG,n01756291,68,0.5132949948310852,68
dataset\ImageNet-Mini\images\n01756291\ILSVRC2012_val_00018563.JPEG,n01756291,66,0.40135788917541504,68
dataset\ImageNet-Mini\images\n01756291\ILSVRC2012_val_00020569.JPEG,n01756291,66,0.5173486471176147,68
dataset\ImageNet-Mini\images\n01768244\ILSVRC2012_val_00003421.JPEG,n01768244,69,0.9668998122215271,69
